"Kod";"Nazwa";"Kierunki inwestowania";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2011";5897,5;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2012";10086,7;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2013";8246,9;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2014";18349,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2015";32548,7;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2016";34670,1;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2017";14443,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2018";68828,9;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2019";135569,5;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2020";163044,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2021";75371,3;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2022";0,0;"tys. zł";"x";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń pyłowych";"2023";;"tys. zł";"n";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2000";43142,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2001";19016,5;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2002";17916,7;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2003";14060,6;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2004";16061,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2005";11935,9;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2006";31982,0;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2007";6258,3;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2008";310,7;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2009";1063,2;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2010";6105,3;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2011";712,8;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2012";9317,6;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2013";58129,9;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2014";224965,1;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2015";443402,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2016";55019,1;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2017";545,4;"tys. zł";"";
0200000;"DOLNOŚLĄSKIE";"redukcja zanieczyszczeń gazowych";"2018";17025,9;"tys. zł";"";
