Rok;Województwo;Kod strefy;Nazwa strefy;Kod stacji;Wska?nik;Czas u?redniania;?rednia;Min;Max;L. dni > 120 (S8max);26 maks (S8max);Per. S93.2 (S8max);AOT40 V-VII;SOMO35;Liczba pomiarów;Kompl. lato;Kompl. zima;Liczba kompletnych mies. letnich (IV-IX);Kompletno??;Liczba Lato/Zima
(-);(-);(-);(-);(-);(-);(-);[µg/m3];[µg/m3];[µg/m3];(-);[µg/m3];[µg/m3];[µg/m3]*h;[µg/m3]*d;(-);[%];[%];(-);[%];(-)
2015;warmi?sko-mazurskie;PL2803;strefa warmi?sko-mazurska;WmOstrChrobr;O3;1g;51,9;0,0;160,5;12;103,1;103,3;10 243;3 533;8 090;89,0;96,0;3;92,4;0,9
2015;warmi?sko-mazurskie;PL2803;strefa warmi?sko-mazurska;WmPuszczaBor;O3;1g;56,2;1,0;155,8;9;112,6;112,6;10 408;3 929;8 730;100,0;99,0;6;99,7;1,0
2015;wielkopolskie;PL3001;Aglomeracja Pozna?ska;WpPoznDabrow;O3;1g;45,5;0,0;185,2;26;120,7;123,8;11 745;4 335;8 589;97,0;99,0;5;98,0;1,0
2015;wielkopolskie;PL3002;miasto Kalisz;WpKaliSawick;O3;1g;55,7;0,6;184,3;33;128,5;128,7;21 038;6 372;8 555;100,0;95,0;6;97,7;1,1
2015;wielkopolskie;PL3003;strefa wielkopolska;WpBoroDrapal;O3;1g;53,0;0,1;196,8;26;121,9;128,4;13 875;5 541;8 009;90,0;93,0;5;91,4;1,0
2015;wielkopolskie;PL3003;strefa wielkopolska;WpKoniWyszyn;O3;1g;47,7;0,3;154,3;21;110,3;110,6;7 831;3 503;8 596;99,0;97,0;6;98,1;1,0
2015;wielkopolskie;PL3003;strefa wielkopolska;WpPiaskiKrzy;O3;1g;54,5;0,1;185,7;29;127,9;127,9;16 913;5 635;8 722;100,0;100,0;6;99,6;1,0
2015;zachodniopomorskie;PL3201;Aglomeracja Szczeci?ska;ZpSzczAndr01;O3;1g;49,1;-0,8;157,5;15;101,3;101,3;6 478;3 021;8 720;99,0;100,0;6;99,5;1,0
2015;zachodniopomorskie;PL3203;strefa zachodniopomorska;ZpWiduBulRyb;O3;1g;52,9;0,0;164,9;20;107,1;107,4;8 600;3 844;8 475;96,0;98,0;5;96,7;1,0
2016;dolno?l?skie;PL0204;strefa dolno?l?ska;DsCzerStraza;O3;1g;71,7;1,5;180,8;30;121,6;121,6;16 690;6 239;8 677;99,0;99,0;6;98,8;1,0
