"Kod";"Nazwa";"Rodzaje źródeł";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2008";272,0;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2009";446,7;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2010";658,9;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2011";703,5;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2012";897,0;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2013";763,1;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2014";1055,9;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2015";1013,0;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2016";708,2;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2017";803,5;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2018";644,3;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2019";769,7;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2020";885,1;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2021";1263,5;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2022";1592,2;"GWh";"";
0200000;"DOLNOŚLĄSKIE";"z odnawialnych nośników energii";"2023";;"GWh";"n";
0200000;"DOLNOŚLĄSKIE";"udział energii odnawialnej w produkcji energii elektrycznej ogółem";"2000";;"%";"";
0200000;"DOLNOŚLĄSKIE";"udział energii odnawialnej w produkcji energii elektrycznej ogółem";"2001";;"%";"";
0200000;"DOLNOŚLĄSKIE";"udział energii odnawialnej w produkcji energii elektrycznej ogółem";"2002";;"%";"";
0200000;"DOLNOŚLĄSKIE";"udział energii odnawialnej w produkcji energii elektrycznej ogółem";"2003";;"%";"";
0200000;"DOLNOŚLĄSKIE";"udział energii odnawialnej w produkcji energii elektrycznej ogółem";"2004";;"%";"";
0200000;"DOLNOŚLĄSKIE";"udział energii odnawialnej w produkcji energii elektrycznej ogółem";"2005";1,3;"%";"";
0200000;"DOLNOŚLĄSKIE";"udział energii odnawialnej w produkcji energii elektrycznej ogółem";"2006";1,3;"%";"";
0200000;"DOLNOŚLĄSKIE";"udział energii odnawialnej w produkcji energii elektrycznej ogółem";"2007";1,7;"%";"";
0200000;"DOLNOŚLĄSKIE";"udział energii odnawialnej w produkcji energii elektrycznej ogółem";"2008";1,8;"%";"";
0200000;"DOLNOŚLĄSKIE";"udział energii odnawialnej w produkcji energii elektrycznej ogółem";"2009";3,2;"%";"";
